ts,volume,price,market_cap,symbol,freq,ret_1d,ret_3d,ret_7d,ret_14d,ret_30d,roll_mean_3,roll_std_3,roll_min_3,roll_max_3,roll_mean_7,roll_std_7,roll_min_7,roll_max_7,roll_mean_14,roll_std_14,roll_min_14,roll_max_14,roll_mean_30,roll_std_30,roll_min_30,roll_max_30,vol_7,vol_14,vol_30,rsi,macd,macd_signal,macd_hist,price_lag1,price_lag2,price_lag3,price_lag7,price_lag14,price_lag30,next_price,next_ret,y_drop2pct
2024-07-14 23:59:59.999000+00:00,21178.33907,60797.91,,BTCUSDT,daily,0.026921989418961845,0.060307405542633585,0.08844063166815896,-0.03144873009483051,-0.07943311722989477,59297.00999999999,1456.6328497940929,57889.1,60797.91,58245.91285714286,1356.0086396192974,56714.62,60797.91,58623.726428571434,2138.0051580188915,55857.81,62899.99,61187.806,3248.473482049093,55857.81,66676.87,0.013818283577079702,0.025605338932019127,0.021821256179191575,44.101233717958834,-1547.0447338361992,-1940.0232279813736,392.9784941451744,59204.02,57889.1,57339.89,55857.81,62772.01,66043.99,64724.14,0.06457837119729931,0
2024-07-15 23:59:59.999000+00:00,38690.9782,64724.14,,BTCUSDT,daily,0.06457837119729937,0.11807127766712555,0.14122496104179127,0.029000799523179577,-0.022711003235024285,61575.35666666666,2840.9943141851727,59204.02,64724.14,59390.13,2629.654463815531,57339.89,64724.14,58754.02285714285,2451.291560731326,55857.81,64724.14,61137.668999999994,3178.8579049881205,55857.81,66676.87,0.024244974390832,0.031202430812674004,0.025021301211897422,54.44233981007637,-970.2581928778964,-1746.0702209606782,775.8120280827818,60797.91,59204.02,57889.1,56714.62,62899.99,66228.25,65043.99,0.004941741983748236,0
2024-07-16 23:59:59.999000+00:00,42530.52915,65043.99,,BTCUSDT,daily,0.0049417419837483045,0.09864144360467408,0.12048217054263555,0.04680933450732727,-0.024489451889388336,63522.01333333333,2364.5570903728194,60797.91,65043.99,60389.27142857143,3283.105616056108,57339.89,65043.99,58961.77428571428,2850.6415849705027,55857.81,65043.99,61083.23966666667,3093.579052622322,55857.81,66504.33,0.024716513960688653,0.03091822795380598,0.025005259828996675,57.23990055130896,-481.78773266409553,-1493.2137233013618,1011.4259906372663,64724.14,60797.91,59204.02,58050.0,62135.47,66676.87,64087.99,-0.01469774532589406,0
2024-07-17 23:59:59.999000+00:00,29567.52954,64087.99,,BTCUSDT,daily,-0.014697745325894074,0.05411501809848396,0.1102130154861296,0.06443284329243437,-0.03633357406953808,64618.70666666666,486.6427240104708,64087.99,65043.99,61298.14857142857,3303.4577000438617,57339.89,65043.99,59238.875,3153.6135875644845,55857.81,65043.99,61002.695,2976.8207419044143,55857.81,65175.32,0.026273179022643298,0.029795772832864664,0.025137124055345194,60.14710305845672,-169.85460591352603,-1228.5418998237947,1058.6872939102686,65043.99,64724.14,60797.91,57725.85,60208.58,66504.33,63987.92,-0.0015614470043451153,0
2024-07-18 23:59:59.999000+00:00,22568.7225,63987.92,,BTCUSDT,daily,-0.001561447004345129,-0.011374735917696221,0.11594075258951486,0.12161102162821691,-0.01821855266686845,64373.29999999999,582.9856844717609,63987.92,65043.99,62247.86714285715,2907.7568250322915,57889.1,65043.99,59734.44,3323.7228389306106,55857.81,65043.99,60963.115,2926.9035172035565,55857.81,65043.99,0.025620567859198647,0.024976256781532858,0.02487924467672149,71.60353358430874,68.49031796129566,-969.1354562667766,1037.6257742280723,64087.99,65043.99,64724.14,57339.89,57050.01,65175.32,66660.0,0.041759132036171855,0
2024-07-19 23:59:59.999000+00:00,35634.72739,66660.0,,BTCUSDT,daily,0.041759132036171875,0.024844878058680075,0.15151211540687282,0.17713975523757441,0.02594299875473971,64911.969999999994,1514.6650329029828,63987.92,66660.0,63500.852857142854,2588.711116338616,59204.02,66660.0,60450.955,3666.3075387005792,55857.81,66660.0,61019.30266666667,3021.222532771008,55857.81,66660.0,0.027106138142284353,0.026001848706102993,0.026027666488357134,77.39538709682705,467.6046564049757,-681.7874337324262,1149.3920901374017,63987.92,64087.99,65043.99,57889.1,56628.79,64974.37,67139.96,0.007200120012001296,0
2024-07-20 23:59:59.999000+00:00,14386.92434,67139.96,,BTCUSDT,daily,0.007200120012001321,0.04762155904717891,0.13404393823257288,0.15301064929788089,0.03499260598005338,65929.29333333333,1698.3192323389326,63987.92,67139.96,64634.55857142858,2081.3400784059445,60797.91,67139.96,61087.37142857142,4008.4900726212977,55857.81,67139.96,61094.96833333334,3146.802847351058,55857.81,67139.96,0.027541425548044805,0.025595599668844202,0.026044799049936538,75.92051588338282,813.2596548277434,-382.7780160203923,1196.0376708481356,66660.0,63987.92,64087.99,59204.02,58230.13,64869.99,68165.34,0.015272276003738906,0
2024-07-21 23:59:59.999000+00:00,21819.11191,68165.34,,BTCUSDT,daily,0.015272276003738927,0.06528450995125334,0.12117900105447688,0.22033678012081026,0.06269966930429183,67321.76666666666,768.9618826263293,66660.0,68165.34,65687.04857142856,1632.1896318990648,63987.92,68165.34,61966.48071428571,4121.3661576049235,56714.62,68165.34,61229.02766666667,3359.6272568900868,55857.81,68165.34,0.027294962874995585,0.02091626339135736,0.026049044110546586,88.84979630540363,1156.6007543917076,-74.9022619379723,1231.50301632968,67139.96,66660.0,63987.92,60797.91,55857.81,64143.56,67532.01,-0.009291085469536303,0
2024-07-22 23:59:59.999000+00:00,21451.04303,67532.01,,BTCUSDT,daily,-0.009291085469536275,0.013081458145814517,0.04338211369050238,0.19073371204814538,0.05088542982082256,67612.43666666666,517.3996256591394,67139.96,68165.34,66088.17285714285,1699.7373755343237,63987.92,68165.34,62739.15142857143,4074.76626866775,57339.89,68165.34,61338.02766666667,3511.056125185745,55857.81,68165.34,0.018647001372031527,0.021857022506719,0.026135793892231623,84.63468876649625,1361.8975047122804,212.45769139207826,1149.4398133202021,68165.34,67139.96,66660.0,64724.14,56714.62,64262.01,65936.01,-0.02363323703825786,1
2024-07-23 23:59:59.999000+00:00,31406.15316,65936.01,,BTCUSDT,daily,-0.023633237038257815,-0.017931943957071317,0.013714103332221672,0.13584857881136947,0.04312608082169245,67211.12,1148.7845125605193,65936.01,68165.34,66215.60428571429,1640.8233292953068,63987.92,68165.34,63302.43785714286,3918.7718157665927,57339.89,68165.34,61428.89433333334,3595.434650526184,55857.81,68165.34,0.021832224997593914,0.0236317573574124,0.026344492105677603,74.83465106509213,1379.906098214582,445.94737275657906,933.958725458003,67532.01,68165.34,67139.96,65043.99,58050.0,63210.01,65376.0,-0.008493234576978419,0
